Year,Round,Team 1,Team 1 Wins,Team 2,Team 2 Wins,Winner,Team 1_FG_PCT,Team 1_FG3_PCT,Team 1_PTS,Team 1_WinPCT,Team 2_FG_PCT,Team 2_FG3_PCT,Team 2_PTS,Team 2_WinPCT,Team 1_SRS,Team 2_SRS
2019,ECFR,Milwaukee Bucks,4,Detroit Pistons,0,Milwaukee Bucks,0.476,0.353,9686,0.732,0.44,0.348,8778,0.5,8.04,-0.56
2019,ECFR,Philadelphia 76ers,4,Brooklyn Nets,1,Philadelphia 76ers,0.471,0.359,9445,0.622,0.449,0.353,9204,0.512,2.25,-0.40
2019,ECFR,Toronto Raptors,4,Orlando Magic,1,Toronto Raptors,0.474,0.366,9384,0.707,0.454,0.356,8800,0.512,5.49,0.28
2019,WCFR,Denver Nuggets,4,San Antonio Spurs,3,Denver Nuggets,0.466,0.351,9075,0.659,0.478,0.392,9156,0.585,4.19,1.80
2019,WCFR,Golden State Warriors,4,LA Clippers,2,Golden State Warriors,0.491,0.385,9650,0.695,0.471,0.388,9442,0.585,6.42,1.09
2019,WCFR,Houston Rockets,4,Utah Jazz,1,Houston Rockets,0.449,0.356,9341,0.646,0.468,0.356,9161,0.61,4.96,5.28
2019,WCFR,Portland Trail Blazers,4,Oklahoma City Thunder,1,Portland Trail Blazers,0.467,0.359,9402,0.646,0.454,0.348,9387,0.598,4.43,3.56
2018,Finals,Golden State Warriors,4,Cleveland Cavaliers,0,Golden State Warriors,0.503,0.391,9304,0.707,0.476,0.372,9091,0.61,5.79,0.59
2018,ECF,Cleveland Cavaliers,4,Boston Celtics,3,Cleveland Cavaliers,0.476,0.372,9091,0.61,0.45,0.377,8529,0.671,0.59,3.23
2018,WCF,Golden State Warriors,4,Houston Rockets,3,Golden State Warriors,0.503,0.391,9304,0.707,0.46,0.362,9213,0.793,5.79,8.21
2018,ECS,Boston Celtics,4,Philadelphia 76ers,1,Boston Celtics,0.45,0.377,8529,0.671,0.472,0.369,9004,0.634,3.23,4.30
2018,ECS,Cleveland Cavaliers,4,Toronto Raptors,0,Cleveland Cavaliers,0.476,0.372,9091,0.61,0.472,0.358,9156,0.72,0.59,7.29
2018,WCS,Golden State Warriors,4,New Orleans Pelicans,1,Golden State Warriors,0.503,0.391,9304,0.707,0.483,0.362,9161,0.585,5.79,1.48
2018,WCS,Houston Rockets,4,Utah Jazz,1,Houston Rockets,0.46,0.362,9213,0.793,0.462,0.366,8540,0.585,8.21,4.47
2018,ECFR,Boston Celtics,4,Milwaukee Bucks,3,Boston Celtics,0.45,0.377,8529,0.671,0.478,0.355,8731,0.537,3.23,-0.45
2018,ECFR,Cleveland Cavaliers,4,Indiana Pacers,3,Cleveland Cavaliers,0.476,0.372,9091,0.61,0.472,0.369,8656,0.585,0.59,1.18
2018,ECFR,Philadelphia 76ers,4,Miami Heat,1,Philadelphia 76ers,0.472,0.369,9004,0.634,0.455,0.36,8480,0.537,4.30,0.15
2018,ECFR,Toronto Raptors,4,Washington Wizards,2,Toronto Raptors,0.472,0.358,9156,0.72,0.467,0.375,8742,0.524,7.29,0.53
2018,WCFR,Golden State Warriors,4,San Antonio Spurs,1,Golden State Warriors,0.503,0.391,9304,0.707,0.457,0.352,8424,0.573,5.79,2.89
2018,WCFR,Houston Rockets,4,Minnesota Timberwolves,1,Houston Rockets,0.46,0.362,9213,0.793,0.476,0.357,8980,0.573,8.21,2.35
2018,WCFR,New Orleans Pelicans,4,Portland Trail Blazers,0,New Orleans Pelicans,0.483,0.362,9161,0.585,0.452,0.366,8661,0.598,1.48,2.60
2018,WCFR,Utah Jazz,4,Oklahoma City Thunder,2,Utah Jazz,0.462,0.366,8540,0.585,0.453,0.354,8844,0.585,4.47,3.42
2017,Finals,Golden State Warriors,4,Cleveland Cavaliers,1,Golden State Warriors,0.495,0.383,9503,0.817,0.47,0.384,9048,0.622,11.35,2.87
2017,ECF,Cleveland Cavaliers,4,Boston Celtics,1,Cleveland Cavaliers,0.47,0.384,9048,0.622,0.454,0.359,8857,0.646,2.87,2.25
2017,WCF,Golden State Warriors,4,San Antonio Spurs,0,Golden State Warriors,0.495,0.383,9503,0.817,0.469,0.391,8637,0.744,11.35,7.13
2017,ECS,Boston Celtics,4,Washington Wizards,3,Boston Celtics,0.454,0.359,8857,0.646,0.475,0.372,8953,0.598,2.25,1.36
2017,ECS,Cleveland Cavaliers,4,Toronto Raptors,0,Cleveland Cavaliers,0.47,0.384,9048,0.622,0.464,0.363,8762,0.622,2.87,3.65
2017,WCS,Golden State Warriors,4,Utah Jazz,0,Golden State Warriors,0.495,0.383,9503,0.817,0.466,0.372,8258,0.622,11.35,4.00
2017,WCS,San Antonio Spurs,4,Houston Rockets,2,San Antonio Spurs,0.469,0.391,8637,0.744,0.462,0.357,9458,0.671,7.13,5.84
2017,ECFR,Boston Celtics,4,Chicago Bulls,2,Boston Celtics,0.454,0.359,8857,0.646,0.444,0.34,8435,0.5,2.25,0.03
2017,ECFR,Cleveland Cavaliers,4,Indiana Pacers,0,Cleveland Cavaliers,0.47,0.384,9048,0.622,0.465,0.376,8618,0.512,2.87,-0.64
2017,ECFR,Toronto Raptors,4,Milwaukee Bucks,2,Toronto Raptors,0.464,0.363,8762,0.622,0.474,0.37,8497,0.512,3.65,-0.45
2017,ECFR,Washington Wizards,4,Atlanta Hawks,2,Washington Wizards,0.475,0.372,8953,0.598,0.451,0.341,8459,0.524,1.36,-1.23
2017,WCFR,Golden State Warriors,4,Portland Trail Blazers,0,Golden State Warriors,0.495,0.383,9503,0.817,0.459,0.375,8851,0.5,11.35,-0.23
2017,WCFR,Houston Rockets,4,Oklahoma City Thunder,1,Houston Rockets,0.462,0.357,9458,0.671,0.452,0.327,8741,0.573,5.84,1.14
2017,WCFR,San Antonio Spurs,4,Memphis Grizzlies,2,San Antonio Spurs,0.469,0.391,8637,0.744,0.435,0.354,8239,0.524,7.13,0.96
2017,WCFR,Utah Jazz,4,LA Clippers,3,Utah Jazz,0.466,0.372,8258,0.622,0.475,0.375,8911,0.622,4.00,4.42
2016,Finals,Cleveland Cavaliers,4,Golden State Warriors,3,Cleveland Cavaliers,0.46,0.362,8555,0.695,0.487,0.416,9421,0.89,5.45,10.38
2016,ECF,Cleveland Cavaliers,4,Toronto Raptors,2,Cleveland Cavaliers,0.46,0.362,8555,0.695,0.451,0.37,8422,0.683,5.45,4.08
2016,WCF,Golden State Warriors,4,Oklahoma City Thunder,3,Golden State Warriors,0.487,0.416,9421,0.89,0.476,0.349,9038,0.671,10.38,7.09
2016,ECS,Cleveland Cavaliers,4,Atlanta Hawks,0,Cleveland Cavaliers,0.46,0.362,8555,0.695,0.458,0.35,8433,0.585,5.45,3.49
